id,label,statement,subject,speaker,job,state,party,barely_true,false,half_true,mostly_true,pants_fire,context
2635.json,0.0,says the annies list political group supports thirdtrimester abortions on demand,abortion,dwayne-bohac,State representative,Texas,republican,0.0,1.0,0.0,0.0,0.0,a mailer
1123.json,0.0,health care reform legislation is likely to mandate free sex change surgeries,health-care,blog-posting,,,none,7.0,19.0,3.0,5.0,44.0,a news release
12465.json,1.0,the chicago bears have had more starting quarterbacks in the last 10 years than the total number of tenured uw faculty fired during the last two decades,education,robin-vos,Wisconsin Assembly speaker,Wisconsin,republican,0.0,3.0,2.0,5.0,1.0,a an online opinion-piece
5947.json,0.0,when mitt romney was governor of massachusetts we didnt just slow the rate of growth of our government we actually cut it,"history,state-budget",mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,an interview with CBN News
620.json,1.0,mccain opposed a requirement that the government buy americanmade motorcycles and he said all buyamerican provisions were quote disgraceful ,federal-budget,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a radio ad
10173.json,0.0,women and men both are making less when you adjust for inflation than when john kitzhaber was first elected governor,"economy,income",dennis-richardson,state representative,Oregon,republican,0.0,4.0,1.0,2.0,0.0,a campaign debate
10215.json,0.0,i dont know who jonathan gruber is,health-care,nancy-pelosi,House Minority Leader,California,democrat,3.0,7.0,11.0,2.0,3.0,a news conference
11092.json,0.0,isis supporter tweeted at 1034 am shooting began at 1045 am in chattanooga tenn,"technology,terrorism",pamela-geller,President of American Freedom Defense Intitiative,New York,activist,0.0,1.0,1.0,0.0,0.0,a tweet 
13237.json,1.0,says paul ryan is still endorsing trump,"candidates-biography,elections,campaign-advertising",hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,a tweet
9727.json,0.0,what the obama administration is going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants,"climate-change,energy,environment,government-regulation",shelley-moore-capito,U.S. House of Representative,West Virginia,republican,1.0,1.0,0.0,0.0,0.0,a campaign ad
7550.json,1.0,we have a federal government that thinks they have the authority to regulate our toilet seats,"consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers",ted-cruz,Senator,Texas,republican,36.0,33.0,15.0,19.0,8.0,a speech at CPAC
9018.json,1.0,austin is a city that has basically doubled in size every 25 years or so since it was founded,"city-government,population",lee-leffingwell,Austin mayor,Texas,democrat,1.0,0.0,4.0,1.0,0.0,"his ""State of the City"" address"
1038.json,1.0,the nuclear test conducted in our nation this time is the earths 2054th nuclear test the five permanent members of the un security council have conducted 9999 percent of the total nuclear tests,military,north-korea,,,none,0.0,0.0,0.0,0.0,0.0,a released statement
8492.json,1.0,under president george w bush we added 49 trillion to the debt under president obama weve added 65 trillion to the debt,debt,kelly-ayotte,U.S. Senator,New Hampshire,republican,2.0,1.0,1.0,4.0,0.0,"a town hall meeting in Hudson, N.H."
5352.json,0.0,says a us supreme court justice suggested that some us cases will be decided based on south african law,"legal-issues,supreme-court",marco-rubio,U.S. Senator,Florida,republican,33.0,24.0,32.0,35.0,5.0,a speech at the CPAC conference
1926.json,0.0,we have a director of homeland security who cannot use and will not use the term terrorist attack but instead substitutes manmade disaster ,"homeland-security,terrorism",jerry-patterson,state land commissioner,Texas,republican,1.0,1.0,1.0,3.0,0.0,a speech at the Texas Republican Party Convention
3652.json,0.0,president barack obama took exactly none of his own deficit reduction commissions ideas not one,"deficit,federal-budget",john-boehner,Speaker of the House of Representatives,Ohio,republican,13.0,22.0,11.0,4.0,2.0,an interview with ABC news
13503.json,1.0,hillary clinton in 2005 cosponsored legislation that would jail flag burners,patriotism,blog-posting,,,none,7.0,19.0,3.0,5.0,44.0,Townhall.com 
8187.json,0.0,says terry mcauliffe is the person who invented the scheme to rent out the lincoln bedroom,"campaign-finance,ethics,history",ken-cuccinelli,Attorney General,Virginia,republican,1.0,10.0,3.0,2.0,1.0,a speech.
12758.json,1.0,we created 800000 new jobs we cut the unemployment rate almost in half and today new york state has more private sector jobs than it has ever had in its history,jobs,andrew-cuomo,Governor,New York,democrat,1.0,0.0,0.0,1.0,0.0,"a conversation with reporters in Victor, NY."
812.json,0.0,sen obamas campaign announced that hes choosing his cabinet,elections,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,"a rally in Bensalem, Pa."
6000.json,0.0,only 2 percent of public high schools in the country offer pe classes,"education,health-care",michelle-obama,,Illinois,democrat,0.0,2.0,1.0,4.0,0.0,an interview with NPR
1779.json,1.0,on military recruiters at harvard elena kagan took a position and the supreme court ruled unanimously that she was wrong,"education,gays-and-lesbians,kagan-nomination,military,supreme-court",john-barrasso,Senator,Wyoming,republican,1.0,0.0,0.0,0.0,0.0,an interview on Fox News
8584.json,0.0,under mayor cicilline providence was a sanctuary city,"history,homeland-security,immigration,legal-issues,pundits",john-depetro,Talk-show host,Rhode Island,talk-show-host,0.0,3.0,0.0,0.0,3.0,a statement on WPRO-AM
6612.json,1.0,at bain capital we helped start an early childhood learning company called bright horizons that first lady michelle obama rightly praised,"candidates-biography,job-accomplishments",mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,remarks at the Republican National Convention in Tampa
12056.json,0.0,says the man who rushed the stage at him in dayton ohio had chatter about isis or with isis in his social media posts,"civil-rights,elections,terrorism",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,"an interview on ""Meet the Press"""
3786.json,1.0,if you take the population growth here in virginia we are net zero on job creation since bob mcdonnell became governor,jobs,terry-mcauliffe,Governor,Virginia,democrat,12.0,6.0,2.0,2.0,3.0,a speech.
2166.json,1.0,during the recession the consumer in his native perversity has begun to save the savings rate is now 62 percent,"economy,abc-news-week",george-will,Columnist,Maryland,columnist,7.0,6.0,3.0,5.0,1.0,"a roundtable discussion on ABC's ""This Week"""
1978.json,0.0,on whether a us supreme court nominee should be forthcoming at confirmation hearings,"kagan-nomination,supreme-court",elena-kagan,U.S. solicitor general,New York,democrat,0.0,0.0,1.0,0.0,0.0,a law review article
9165.json,0.0,says charlie crist supports cuts to the medicare advantage program,"health-care,medicare",republican-party-florida,,,republican,10.0,6.0,6.0,6.0,4.0,a Facebook post
10053.json,1.0,says scott brown cosponsored legislation to let employers deny women coverage for birth control,"health-care,legal-issues,women",jeanne-shaheen,Senator,New Hampshire,democrat,3.0,0.0,4.0,2.0,0.0,a news release
3146.json,0.0,in the past 20 years egypt has made great strides in political and democratic reform,"foreign-policy,abc-news-week",sameh-shoukry,,,none,0.0,1.0,0.0,0.0,0.0,"an interview on ABC's ""This Week with Christiane Amanpour."""
8755.json,0.0,the amount of attention paid this week to chris christie makes the coverage of benghazi  pale in significance,"terrorism,transportation",karl-rove,,Texas,republican,2.0,5.0,2.0,8.0,0.0,"comments on ""Fox News Sunday"""
9989.json,1.0,says us rep steve southerland voted to keep the shutdown going,federal-budget,gwen-graham,,Florida,democrat,0.0,0.0,1.0,0.0,0.0,a campaign commercial
10263.json,0.0,austin is burdened by the fastestgrowing tax increases of any major city in the nation,"city-budget,city-government,taxes",jim-skaggs,"Treasurer, Citizens Against Rail Taxes",Texas,none,0.0,1.0,0.0,0.0,0.0,as quoted in a news story
1969.json,0.0,phoenix arizona is the no 2 kidnapping capital of the world,immigration,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,comments on 'Meet the Press'
10386.json,1.0,i belong to the aflcio,"candidates-biography,labor",rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,Texas Public Policy Foundation policy orientation
9213.json,1.0,did you know us population growth is at its lowest since the great depression,"immigration,population",robert-sarvis,"lawyer, businessman",Virginia,libertarian,0.0,0.0,0.0,1.0,0.0,a tweet.
7258.json,1.0,since 1968 more americans have died from gunfire than died in all the wars of this countrys history,guns,mark-shields,Columnist and commentator,"Washington, D.C.",none,1.0,0.0,0.0,0.0,0.0,the PBS NewsHour
5667.json,0.0,the florida department of agricultures website freshfromfloridacom can be used to get a permit to carry a loaded hidden gun without ever leaving your house,guns,brady-campaign-prevent-gun-violence,,,none,1.0,1.0,0.0,0.0,0.0,a congressional briefing
13142.json,0.0,nato is opening up a major terror division  im sure im not going to get credit for it but that was largely because of what i was saying and my criticism of nato,"foreign-policy,military,terrorism",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a presidential debate at Hofstra University
338.json,1.0,sen obama has always had a 100 percent prochoice rating,abortion,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,an e-mail message sent to voters before Super Tuesday.
2820.json,1.0,the federal debt is growing by more than 4 billion a day,"deficit,economy,federal-budget",rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,"in ""Fed Up! Our Fight to Save America from Washington"""
7796.json,0.0,of our 98000 teachers who are k12 over 53000 of those teachers today are over 50 years old,"education,retirement",terry-mcauliffe,Governor,Virginia,democrat,12.0,6.0,2.0,2.0,3.0,a speech.
10423.json,1.0,the economy is creating jobs at the fastest pace since 1999,"economy,jobs",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,the State of the Union address
10768.json,0.0,about half of the presidents have been governors half of them senators,"congress,corrections-and-updates,elections,history,states",ted-cruz,Senator,Texas,republican,36.0,33.0,15.0,19.0,8.0,remarks in New Hampshire
6520.json,1.0,says 88 texas constables have died in the line of duty,"crime,criminal-justice,history,public-safety,public-service",bruce-elfant,"Constable, Travis County, Precinct 5",Texas,democrat,0.0,0.0,0.0,1.0,0.0,a press statement.
1593.json,1.0,as floridas cfo i shut down krakows scam and refunded more than 12 million to josephine and other victims of this con man,job-accomplishments,alex-sink,,Florida,democrat,1.0,2.0,2.0,4.0,0.0,a fundraising e-mail to supporters
7555.json,0.0,the air force wants taxpayers to fund a fantasy football league,"families,federal-budget,military",blog-posting,,,none,7.0,19.0,3.0,5.0,44.0,blog posts
8985.json,1.0,says the us supreme court found that social security is not guaranteed,social-security,david-jolly,,Florida,republican,4.0,0.0,1.0,1.0,0.0,a Congressional campaign debate
